system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2006_03_06_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2006-03-06,36.6,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2006_03_06_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2006-03-06,36.5,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2006_03_06_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2006-03-06,37.1,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2006_03_06_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2006-03-06,34.7,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2006_03_06_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2006-03-06,36.800000000000004,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2006_03_06_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2006-03-06,33.6,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2006_03_06_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2006-03-06,34.2,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2006_03_06_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2006-03-06,34.1,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2006_03_06_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2006-03-06,35.9,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2006_03_06_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2006-03-06,29.8,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2006_03_06_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2006-03-06,29.3,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2006_03_06_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2006-03-06,33.6,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2006_03_14_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2006-03-14,33.7,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2006_03_14_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2006-03-14,34.7,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2006_03_14_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2006-03-14,36.1,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2006_03_14_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2006-03-14,32.300000000000004,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2006_03_14_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2006-03-14,31.8,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2006_03_14_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2006-03-14,35.7,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2006_03_14_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2006-03-14,36.300000000000004,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2006_03_14_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2006-03-14,34.800000000000004,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2006_03_14_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2006-03-14,33.0,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2006_03_14_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2006-03-14,34.0,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2006_03_14_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2006-03-14,34.4,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2006_03_14_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2006-03-14,33.5,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2006_03_14_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2006-03-14,29.6,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2006_03_14_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2006-03-14,30.5,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2006_03_14_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2006-03-14,32.800000000000004,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2006_03_14_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2006-03-14,28.700000000000003,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2006_03_14_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2006-03-14,32.7,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2006_03_14_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2006-03-14,27.900000000000002,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2006_03_14_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2006-03-14,30.400000000000002,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2006_03_14_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2006-03-14,31.400000000000002,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2006_03_14_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2006-03-14,31.3,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2006_03_14_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2006-03-14,29.900000000000002,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2006_03_14_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2006-03-14,20.900000000000002,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2006_03_14_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2006-03-14,23.5,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2006_03_14_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2006-03-14,27.900000000000002,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2006_03_22_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2006-03-22,34.2,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2006_03_22_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2006-03-22,35.7,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2006_03_22_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2006-03-22,35.1,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2006_03_22_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2006-03-22,34.0,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2006_03_22_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2006-03-22,33.800000000000004,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2006_03_22_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2006-03-22,36.9,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2006_03_22_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2006-03-22,37.0,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2006_03_22_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2006-03-22,37.9,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2006_03_22_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2006-03-22,35.4,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2006_03_22_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2006-03-22,34.0,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2006_03_22_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2006-03-22,32.6,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2006_03_22_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2006-03-22,34.7,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2006_03_22_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2006-03-22,31.0,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2006_03_22_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2006-03-22,29.6,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2006_03_22_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2006-03-22,34.0,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2006_03_22_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2006-03-22,26.400000000000002,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2006_03_22_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2006-03-22,30.8,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2006_03_22_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2006-03-22,25.5,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2006_03_22_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2006-03-22,27.700000000000003,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2006_03_22_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2006-03-22,29.700000000000003,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2006_03_22_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2006-03-22,28.900000000000002,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2006_03_22_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2006-03-22,27.3,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2006_03_22_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2006-03-22,23.6,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2006_03_22_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2006-03-22,24.700000000000003,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2006_03_22_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2006-03-22,25.6,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2006_03_30_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2006-03-30,46.5,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2006_03_30_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2006-03-30,50.800000000000004,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2006_03_30_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2006-03-30,44.400000000000006,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2006_03_30_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2006-03-30,45.0,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2006_03_30_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2006-03-30,47.5,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2006_03_30_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2006-03-30,45.1,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2006_03_30_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2006-03-30,45.1,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2006_03_30_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2006-03-30,52.900000000000006,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2006_03_30_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2006-03-30,48.300000000000004,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2006_03_30_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2006-03-30,41.2,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2006_03_30_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2006-03-30,40.900000000000006,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2006_03_30_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2006-03-30,48.5,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2006_03_30_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2006-03-30,43.0,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2006_03_30_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2006-03-30,45.2,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2006_03_30_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2006-03-30,47.7,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2006_03_30_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2006-03-30,43.900000000000006,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2006_03_30_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2006-03-30,40.2,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2006_03_30_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2006-03-30,43.6,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2006_03_30_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2006-03-30,43.2,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2006_03_30_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2006-03-30,40.300000000000004,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2006_03_30_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2006-03-30,38.300000000000004,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2006_03_30_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2006-03-30,42.300000000000004,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2006_03_30_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2006-03-30,36.300000000000004,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2006_03_30_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2006-03-30,35.7,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2006_03_30_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2006-03-30,41.7,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2006_04_07_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2006-04-07,47.7,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2006_04_07_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2006-04-07,53.800000000000004,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2006_04_07_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2006-04-07,47.7,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2006_04_07_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2006-04-07,46.1,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2006_04_07_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2006-04-07,51.400000000000006,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2006_04_07_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2006-04-07,45.0,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2006_04_07_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2006-04-07,45.5,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2006_04_07_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2006-04-07,55.900000000000006,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2006_04_07_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2006-04-07,53.2,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2006_04_07_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2006-04-07,40.0,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2006_04_07_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2006-04-07,45.5,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2006_04_07_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2006-04-07,51.300000000000004,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2006_04_07_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2006-04-07,47.2,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2006_04_07_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2006-04-07,49.0,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2006_04_07_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2006-04-07,48.400000000000006,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2006_04_07_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2006-04-07,44.5,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2006_04_07_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2006-04-07,45.2,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2006_04_07_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2006-04-07,43.5,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2006_04_07_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2006-04-07,44.800000000000004,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2006_04_07_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2006-04-07,43.5,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2006_04_07_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2006-04-07,40.6,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2006_04_07_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2006-04-07,43.5,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2006_04_07_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2006-04-07,40.900000000000006,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
